horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,complete_rollout,0.0004915414973801053
2,0.1,50,0,tis,0.002862563813307655
2,0.1,50,0,uniform,0.014062931772282915
2,0.1,50,1,complete_rollout,0.00019427565896841403
2,0.1,50,1,tis,0.0015406938088599832
2,0.1,50,1,uniform,0.02276214690718304
2,0.1,50,2,complete_rollout,0.00029115410628347547
2,0.1,50,2,tis,0.00376406104997355
2,0.1,50,2,uniform,0.014563142695761975
2,0.1,50,3,complete_rollout,0.00030771915300127986
2,0.1,50,3,tis,0.001063179143519472
2,0.1,50,3,uniform,0.009899523704673296
2,0.1,50,4,complete_rollout,0.0002435153160993272
2,0.1,50,4,tis,0.0036830589703918146
2,0.1,50,4,uniform,0.013326758279729067
2,0.1,50,5,complete_rollout,0.00033403317506065425
2,0.1,50,5,tis,0.007617318972359353
2,0.1,50,5,uniform,0.007451116004055665
2,0.1,50,6,complete_rollout,0.0002634553821305058
2,0.1,50,6,tis,0.005025602967776945
2,0.1,50,6,uniform,0.006839239495135086
2,0.1,50,7,complete_rollout,0.0002574490432553057
2,0.1,50,7,tis,0.0059113348487935475
2,0.1,50,7,uniform,0.012437842877522826
2,0.1,50,8,complete_rollout,0.00012975726217332318
2,0.1,50,8,tis,0.01209999715499158
2,0.1,50,8,uniform,0.010374172282811015
2,0.1,50,9,complete_rollout,0.0002554698800989561
2,0.1,50,9,tis,0.001617791537207037
2,0.1,50,9,uniform,0.009624631484894229
2,0.1,50,10,complete_rollout,0.0002969232690279134
2,0.1,50,10,tis,0.010010736398128954
2,0.1,50,10,uniform,0.010382208655990648
2,0.1,50,11,complete_rollout,0.00024730375259409
2,0.1,50,11,tis,0.002198653444315654
2,0.1,50,11,uniform,0.013274850510437267
2,0.1,50,12,complete_rollout,0.0003895804369331718
2,0.1,50,12,tis,0.0018758851408477372
2,0.1,50,12,uniform,0.013598616882049388
2,0.1,50,13,complete_rollout,0.00014943684566018594
2,0.1,50,13,tis,0.003435881159624965
2,0.1,50,13,uniform,0.013454515276852411
2,0.1,50,14,complete_rollout,0.00029637122177855697
2,0.1,50,14,tis,0.010669426896412882
2,0.1,50,14,uniform,0.02028192522284681
2,0.1,50,15,complete_rollout,0.0001242829694216002
2,0.1,50,15,tis,0.023309558144935856
2,0.1,50,15,uniform,0.016234078890893778
2,0.1,50,16,complete_rollout,0.00029959736034780495
2,0.1,50,16,tis,0.005631804028240245
2,0.1,50,16,uniform,0.0090494519217938
2,0.1,50,17,complete_rollout,0.00027749176781851866
2,0.1,50,17,tis,0.006041021975609967
2,0.1,50,17,uniform,0.007951173428485073
2,0.1,50,18,complete_rollout,0.0003121701423888347
2,0.1,50,18,tis,0.0036529513193747005
2,0.1,50,18,uniform,0.012287142673074099
2,0.1,50,19,complete_rollout,0.00033457174601246906
2,0.1,50,19,tis,0.0031544616652456957
2,0.1,50,19,uniform,0.009106813041093806
2,0.1,50,20,complete_rollout,0.0002847172772258767
2,0.1,50,20,tis,0.001898022605294605
2,0.1,50,20,uniform,0.008331822119257025
2,0.1,50,21,complete_rollout,0.0002236091052334994
2,0.1,50,21,tis,0.00631674626105398
2,0.1,50,21,uniform,0.011990699603214857
2,0.1,50,22,complete_rollout,0.00039915586717237503
2,0.1,50,22,tis,0.008076221577503064
2,0.1,50,22,uniform,0.012046965431795946
2,0.1,50,23,complete_rollout,0.0003427809470727246
2,0.1,50,23,tis,0.005151987275564233
2,0.1,50,23,uniform,0.013420192713520457
2,0.1,50,24,complete_rollout,0.0003821493672183135
2,0.1,50,24,tis,0.00925749164105339
2,0.1,50,24,uniform,0.011685180043875722
2,0.1,50,25,complete_rollout,0.00024726273076798724
2,0.1,50,25,tis,0.006237960587095506
2,0.1,50,25,uniform,0.008962814157506226
2,0.1,50,26,complete_rollout,0.0002847444914316026
2,0.1,50,26,tis,0.005304761869168825
2,0.1,50,26,uniform,0.010535358368605134
2,0.1,50,27,complete_rollout,0.00034315169713934694
2,0.1,50,27,tis,0.004890590801469533
2,0.1,50,27,uniform,0.008156128167206437
2,0.1,50,28,complete_rollout,0.00036346499515254894
2,0.1,50,28,tis,0.004940178476173385
2,0.1,50,28,uniform,0.006674503939696874
2,0.1,50,29,complete_rollout,0.00032720089950245964
2,0.1,50,29,tis,0.001197708360035778
2,0.1,50,29,uniform,0.006160657659262188
2,0.1,50,30,complete_rollout,0.00022478482441959342
2,0.1,50,30,tis,0.005753389125764436
